     Conf.      atom         Ref. Fx(Ha/Bohr)         Ref. Fy(Ha/Bohr)         Ref. Fz(Ha/Bohr)           NN Fx(Ha/Bohr)           NN Fy(Ha/Bohr)           NN Fz(Ha/Bohr)
         1         1              -0.00142700              -0.00338900               0.00342900              -0.00532925              -0.00238700              -0.01002695
         1         2              -0.00150000              -0.00779200              -0.01127800               0.00102968               0.00348757               0.00278701
         1         3              -0.00066300               0.01351400              -0.00265700              -0.00055896              -0.00331616              -0.00059150
         1         4               0.00023000              -0.02561200              -0.01703100               0.01085256              -0.01074450              -0.00188352
         1         5               0.00223300               0.00443400               0.00530400              -0.00726366               0.00294196              -0.00427449
         1         6              -0.00038200               0.01843600               0.00956400               0.00037661               0.00348657              -0.00061484
         1         7              -0.03237400               0.02098800              -0.06254500              -0.00960797               0.00200171              -0.01929366
         1         8               0.03196400              -0.03029600               0.05703000               0.00921845              -0.01243469               0.02051731
         1         9               0.00009600               0.01422700               0.00067400               0.00174224               0.00991195              -0.00294617
         1        10               0.01707200              -0.00073300               0.02559400              -0.00045720              -0.00508069               0.01843879
         1        11               0.00671700              -0.00216900               0.00366900               0.01818606               0.00363228               0.00330898
         1        12              -0.02233000               0.00291100              -0.02950400              -0.01532511               0.00220845              -0.02159952
         1        13               0.00537400               0.00672100              -0.01443100               0.00258600              -0.00441087               0.00439498
         1        14              -0.00235600               0.00153200               0.00475000               0.00159750               0.01145215              -0.00186532
         1        15              -0.01096800              -0.00388900               0.01089600              -0.00737899              -0.00850636              -0.00058482
         1        16              -0.04237100               0.01005400               0.00384800              -0.01842734               0.00839828              -0.00535651
         1        17               0.02342700               0.00249500              -0.01184000               0.01439239              -0.00099631              -0.00205452
         1        18               0.01524300              -0.01384700               0.00277700               0.00176751              -0.00730220               0.00343914
         1        19              -0.04923500               0.01468500              -0.02768100              -0.01332934              -0.01113507              -0.01501942
         1        20               0.01801400              -0.01904200               0.00393300               0.00576336              -0.00058293               0.00345824
         1        21               0.02783600               0.00468900               0.02861200               0.00892311               0.00979492               0.01244335
         1        22              -0.01091000               0.00543100              -0.00871300              -0.01130761               0.00914586              -0.00711861
         1        23               0.00541500              -0.01138400               0.01062800               0.00643675              -0.01242203               0.01234695
         1        24               0.00548900               0.00909300               0.00022300              -0.00352957               0.00545579              -0.00571433
         1        25              -0.01127500              -0.01127300              -0.02807100              -0.00864595              -0.00005111              -0.01258529
         1        26               0.00646300              -0.00556000               0.02409400               0.00442601              -0.00681122               0.00942012
         1        27               0.00203200               0.01328600               0.00418500               0.00236655               0.00707531               0.00269591
         1        28               0.02198100               0.02210700               0.05296000               0.01050156              -0.00278674               0.01056201
         1        29              -0.01674700              -0.02199600              -0.04102300              -0.01164940              -0.00014971              -0.01446163
         1        30              -0.00818300              -0.00370100              -0.01704000              -0.00457560               0.00256768               0.00117519
         1        31              -0.03333500              -0.00289400               0.01807600              -0.01139593               0.00020578               0.00028540
         1        32               0.02011700              -0.00447500               0.00261000               0.01012446              -0.00130817               0.00308362
         1        33               0.01561500               0.01155800              -0.02064800               0.00316426               0.00175559              -0.00141307
         1        34              -0.01885300              -0.01200100               0.00938400              -0.01012246              -0.00182777               0.00342135
         1        35               0.01422600               0.01279700              -0.00653100               0.01338301              -0.00130444              -0.00396964
         1        36               0.00804100               0.00260000               0.00112300               0.00013912               0.00265476               0.00296534
         1        37               0.01327300              -0.01047600               0.00225700               0.01279372              -0.00955610              -0.00239198
         1        38               0.00046100               0.01024500              -0.00588900               0.00512024               0.01202985              -0.00782406
         1        39              -0.00943900              -0.00463900               0.00006700              -0.01083289              -0.00764108               0.00522905
         1        40              -0.00859600              -0.00312000               0.02667600               0.00371465               0.00560652               0.00948750
         1        41               0.01614700               0.00190600              -0.01265000               0.00032329              -0.00301222              -0.00222738
         1        42               0.00316100               0.00338600              -0.00856100              -0.00098266               0.00164446              -0.00100022
         1        43              -0.03374600               0.02977400               0.01256800              -0.00512436               0.02459452              -0.00460425
         1        44               0.02040700              -0.00379100              -0.02028300               0.00518835              -0.00162293              -0.00530076
         1        45               0.00833800              -0.02627800               0.00546600               0.00339177              -0.02119399               0.00296174
         1        46               0.02244900              -0.02002300               0.00322100               0.00971171              -0.01469477               0.00925345
         1        47               0.01137900               0.00316400               0.00267000               0.01481126               0.00415467              -0.00416542
         1        48              -0.03722200               0.01419100              -0.00523300              -0.02554969               0.00465743              -0.00455598
         1        49               0.01029800              -0.00276100              -0.00206000               0.01004560              -0.00424454               0.00196285
         1        50              -0.00080600              -0.00037900               0.00196900              -0.00216192              -0.00177048              -0.00013992
         1        51              -0.00583400              -0.00335000               0.00339700              -0.00432140              -0.00209730              -0.00181694
         1        52               0.02601500              -0.00589300              -0.00161800               0.00624527              -0.00412874              -0.00166684
         1        53              -0.00598400               0.01150700              -0.00160100              -0.00381195               0.00790033              -0.00156125
         1        54              -0.01942900              -0.00859400              -0.00343200              -0.00149927              -0.00714692               0.00026020
         1        55               0.00117300               0.00440300              -0.03386400               0.00024741               0.01021261              -0.01342254
         1        56              -0.00180700              -0.01075000               0.02413400              -0.00317250              -0.00718995               0.01216662
         1        57              -0.00518800               0.00948800               0.00857700              -0.00152462               0.00310638               0.00063872
         1        58               0.01088900               0.00506600               0.00583100              -0.00735961               0.00347828               0.00650550
         1        59              -0.00654400               0.00007700               0.00672000               0.00001517              -0.00041327               0.00239977
         1        60              -0.00355400              -0.00590600              -0.01697900               0.00332837              -0.00263634              -0.01495677
         1        61               0.00527800              -0.00294500              -0.00245400               0.00202984               0.00235821               0.00236420
         1        62              -0.00404200               0.00786300               0.00110600               0.00609409              -0.00281895              -0.00218923
         1        63              -0.00346800              -0.00106900               0.00156700              -0.00672379              -0.00035155              -0.00314335
         1        64               0.02381800              -0.01906800              -0.02570300               0.00357792              -0.00606021               0.00244833
         1        65              -0.01141200               0.02142000               0.02280900               0.00602133               0.00816696               0.00005498
         1        66              -0.00390700               0.01487500               0.01033500              -0.00955459               0.00030089               0.00106430
         1        67              -0.01773800              -0.01458100              -0.01303400               0.00328635              -0.00591329               0.00497839
         1        68               0.00770200               0.02002100              -0.00365300               0.00142314               0.01560055              -0.00415080
         1        69               0.00787100              -0.00378600               0.01465300              -0.00710630              -0.01007725              -0.00181207
         1        70              -0.02311000              -0.00295700               0.04391800              -0.00355294              -0.00427603               0.02744203
         1        71               0.02149700              -0.01571100              -0.03619800               0.01854421              -0.02173052              -0.03172582
         1        72               0.00010000               0.01093000               0.00676000              -0.01440758               0.02112633               0.00406946
         1        73              -0.01375400              -0.02717800               0.05927000              -0.00125482              -0.00821217               0.02722542
         1        74               0.02280500               0.01515400              -0.04573700               0.00799130               0.00623165              -0.01970363
         1        75              -0.01891500               0.00151200              -0.01569600              -0.00984043               0.00031840              -0.00543479
         1        76               0.02302500              -0.02178000              -0.00824300               0.00315908              -0.00796219               0.00248914
         1        77              -0.00954100              -0.00239200               0.00717800              -0.00234138               0.00054158              -0.00214895
         1        78              -0.01722900               0.02660800              -0.01440900              -0.00512392               0.00936455              -0.00898566
         1        79              -0.00248600               0.00984200               0.02224300               0.00387522               0.01003341               0.01668942
