     Conf.     atoms         Ref. total energy(Ha)           NN total energy(Ha)     E(Ref.) - E(NN) (Ha/atom)
         1       192                -1103.96472887                -1103.94999576                   -0.00007673
         2       192                -1103.95398863                -1103.94515103                   -0.00004603
         3       192                -1103.93307966                -1103.94378485                    0.00005576
         4       192                -1103.96173306                -1103.94455059                   -0.00008949
         5       192                -1103.97030849                -1103.94424733                   -0.00013574
         6       192                -1103.94401898                -1103.92870965                   -0.00007974
         7       192                -1103.96626206                -1103.93344379                   -0.00017093
         8       192                -1103.94535837                -1103.93615946                   -0.00004791
         9       192                -1103.93915519                -1103.94331255                    0.00002165
        10       192                -1103.95282827                -1103.94230008                   -0.00005483
        11       192                -1103.95108872                -1103.94468293                   -0.00003336
        12       192                -1103.94780607                -1103.92839956                   -0.00010108
        13       192                -1103.94767098                -1103.93589592                   -0.00006133
        14       192                -1103.95492017                -1103.94107757                   -0.00007210
        15       192                -1103.94105222                -1103.94074726                   -0.00000159
        16       192                -1103.96206394                -1103.94011907                   -0.00011430
        17       192                -1103.95207047                -1103.93698015                   -0.00007860
        18       192                -1103.93539648                -1103.93573955                    0.00000179
        19       192                -1103.92586937                -1103.92755794                    0.00000879
        20       192                -1103.94138438                -1103.93891256                   -0.00001287
        21       192                -1103.92426439                -1103.93062448                    0.00003313
        22       192                -1103.90872629                -1103.92920849                    0.00010668
        23       192                -1103.91583583                -1103.93011249                    0.00007436
        24       192                -1103.94767701                -1103.93920971                   -0.00004410
        25       192                -1103.93787385                -1103.92869333                   -0.00004782
        26       192                -1103.93881036                -1103.92085576                   -0.00009351
        27       192                -1103.93708315                -1103.92322600                   -0.00007217
        28       192                -1103.96347778                -1103.93122447                   -0.00016799
        29       192                -1103.93449173                -1103.93117500                   -0.00001727
        30       192                -1103.95128437                -1103.94130567                   -0.00005197
        31       192                -1103.95097856                -1103.93209419                   -0.00009836
        32       192                -1103.92944272                -1103.92275626                   -0.00003483
        33       192                -1103.93966323                -1103.91992755                   -0.00010279
        34       192                -1103.96706059                -1103.94303007                   -0.00012516
        35       192                -1103.95670562                -1103.94204085                   -0.00007638
        36       192                -1103.94195603                -1103.94347604                    0.00000792
        37       192                -1103.95257121                -1103.94552214                   -0.00003671
        38       192                -1103.95382511                -1103.94896843                   -0.00002530
        39       192                -1103.94362508                -1103.94760888                    0.00002075
        40       192                -1103.93100177                -1103.94085097                    0.00005130
        41       192                -1103.94085531                -1103.93653594                   -0.00002250
        42       192                -1103.97538600                -1103.95337648                   -0.00011463
        43       192                -1103.95967010                -1103.94493200                   -0.00007676
        44       192                -1103.95317996                -1103.94124132                   -0.00006218
        45       192                -1103.96106140                -1103.94092962                   -0.00010485
        46       192                -1103.93662147                -1103.93211960                   -0.00002345
        47       192                -1103.93780834                -1103.94268329                    0.00002539
        48       192                -1103.94404893                -1103.94068646                   -0.00001751
        49       192                -1103.93288303                -1103.94569255                    0.00006672
        50       192                -1103.93709612                -1103.94305247                    0.00003102
        51       192                -1103.93996699                -1103.93963031                   -0.00000175
        52       192                -1103.94774989                -1103.94195927                   -0.00003016
        53       192                -1103.94276277                -1103.94738017                    0.00002405
        54       192                -1103.94611721                -1103.94406414                   -0.00001069
        55       192                -1103.94821068                -1103.94755605                   -0.00000341
        56       192                -1103.95732397                -1103.94508888                   -0.00006372
        57       192                -1103.94746631                -1103.95055874                    0.00001611
        58       192                -1103.93264197                -1103.94655199                    0.00007245
        59       192                -1103.94992035                -1103.94748098                   -0.00001271
        60       192                -1103.95499448                -1103.94994845                   -0.00002628
        61       192                -1103.93650691                -1103.93152699                   -0.00002594
        62       192                -1103.90425966                -1103.92412424                    0.00010346
        63       192                -1103.95295500                -1103.94642654                   -0.00003400
        64       192                -1103.95459686                -1103.94398512                   -0.00005527
        65       192                -1103.94166703                -1103.93954956                   -0.00001103
        66       192                -1103.93481131                -1103.94435691                    0.00004972
        67       192                -1103.93531592                -1103.94295126                    0.00003977
        68       192                -1103.95321075                -1103.95264771                   -0.00000293
        69       192                -1103.96468878                -1103.95880131                   -0.00003066
        70       192                -1103.93870009                -1103.94742199                    0.00004543
        71       192                -1103.95268015                -1103.94761280                   -0.00002639
        72       192                -1103.97988959                -1103.94891186                   -0.00016134
        73       192                -1103.94747559                -1103.93860961                   -0.00004618
        74       192                -1103.96101687                -1103.93801164                   -0.00011982
        75       192                -1103.94302896                -1103.93121958                   -0.00006151
        76       192                -1103.94598333                -1103.93540003                   -0.00005512
        77       192                -1103.96186373                -1103.94175175                   -0.00010475
        78       192                -1103.95585384                -1103.93743207                   -0.00009595
        79       192                -1103.95666291                -1103.94271639                   -0.00007264
        80       192                -1103.95747637                -1103.94523963                   -0.00006373
        81       192                -1103.93642295                -1103.93747540                    0.00000548
        82       192                -1103.92923562                -1103.93776080                    0.00004440
        83       192                -1103.93860067                -1103.93659520                   -0.00001045
        84       192                -1103.93212633                -1103.93188101                   -0.00000128
        85       192                -1103.93442602                -1103.92977609                   -0.00002422
        86       192                -1103.93174294                -1103.94136892                    0.00005014
        87       192                -1103.93640646                -1103.94644974                    0.00005231
        88       192                -1103.93267388                -1103.93776275                    0.00002650
        89       192                -1103.91279899                -1103.93531771                    0.00011728
        90       192                -1103.92789049                -1103.93307105                    0.00002698
