     Conf.      atom   element    Ref. charge(e)      NN charge(e)          Ref. energy(Ha)            NN energy(Ha)
         1         1         8       -0.26288000       -0.25333820               0.00000000             -55.62426277
         1         2         1        0.13508100        0.14467477               0.00000000              19.18852979
         1         3         1        0.13061000        0.12831522               0.00000000              19.18809790
         1         4         8       -0.29058800       -0.29916945               0.00000000             -55.62573334
         1         5         1        0.14559800        0.14275249               0.00000000              19.18924666
         1         6         1        0.14112300        0.12870259               0.00000000              19.18838993
         1         7         8       -0.27847500       -0.27528035               0.00000000             -55.62342684
         1         8         1        0.12633300        0.12810957               0.00000000              19.19282772
         1         9         1        0.12951800        0.13385712               0.00000000              19.18804803
         1        10         8       -0.28912600       -0.29010284               0.00000000             -55.62428578
         1        11         1        0.13696100        0.12795015               0.00000000              19.18922763
         1        12         1        0.14906300        0.15121127               0.00000000              19.19044859
         1        13         8       -0.30521400       -0.30940239               0.00000000             -55.62437177
         1        14         1        0.13662100        0.13188301               0.00000000              19.18919233
         1        15         1        0.12897900        0.14376054               0.00000000              19.18947015
         1        16         8       -0.24467700       -0.24512904               0.00000000             -55.62587825
         1        17         1        0.14439200        0.13557019               0.00000000              19.18864074
         1        18         1        0.15237500        0.14519231               0.00000000              19.18944468
         1        19         8       -0.29458100       -0.27979576               0.00000000             -55.62589733
         1        20         1        0.15289800        0.14620408               0.00000000              19.19044908
         1        21         1        0.13873400        0.14096241               0.00000000              19.18895979
         1        22         8       -0.30449300       -0.27941968               0.00000000             -55.62535592
         1        23         1        0.14673800        0.14622617               0.00000000              19.18871285
         1        24         1        0.12415800        0.13226823               0.00000000              19.18932154
         1        25         8       -0.27501300       -0.27433690               0.00000000             -55.62454994
         1        26         1        0.12812200        0.13729104               0.00000000              19.18934045
         1        27         1        0.12593400        0.12607817               0.00000000              19.18763445
         1        28         8       -0.30840500       -0.29649364               0.00000000             -55.62282805
         1        29         1        0.11501900        0.13766187               0.00000000              19.18719402
         1        30         1        0.11814200        0.11238009               0.00000000              19.18957667
         1        31         8       -0.29039900       -0.29831821               0.00000000             -55.62620740
         1        32         1        0.13475200        0.14079011               0.00000000              19.18817067
         1        33         1        0.13555200        0.14130951               0.00000000              19.19118826
         1        34         8       -0.25864500       -0.27177533               0.00000000             -55.62422786
         1        35         1        0.14090700        0.13719301               0.00000000              19.18861800
         1        36         1        0.15054800        0.15429165               0.00000000              19.18985579
         1        37         8       -0.27037500       -0.27302790               0.00000000             -55.62522785
         1        38         1        0.14163300        0.14381934               0.00000000              19.18865183
         1        39         1        0.14025700        0.14008041               0.00000000              19.18911383
         1        40         8       -0.27131500       -0.28805998               0.00000000             -55.62454963
         1        41         1        0.13298900        0.12790654               0.00000000              19.18775466
         1        42         1        0.13879200        0.15408732               0.00000000              19.18887943
         1        43         8       -0.27166000       -0.28144508               0.00000000             -55.62699023
         1        44         1        0.14305100        0.13227073               0.00000000              19.18823347
         1        45         1        0.14215400        0.14096925               0.00000000              19.19025048
         1        46         8       -0.28768200       -0.28192843               0.00000000             -55.62517065
         1        47         1        0.14090800        0.13866316               0.00000000              19.18927836
         1        48         1        0.14492000        0.12771463               0.00000000              19.18851945
         1        49         8       -0.28136000       -0.25036684               0.00000000             -55.62402358
         1        50         1        0.12672600        0.12350168               0.00000000              19.18691137
         1        51         1        0.13126000        0.12371461               0.00000000              19.18872880
         1        52         8       -0.26076100       -0.27421572               0.00000000             -55.62600892
         1        53         1        0.14988300        0.14496162               0.00000000              19.18891681
         1        54         1        0.14560700        0.14914642               0.00000000              19.18958478
         1        55         8       -0.28161700       -0.28315867               0.00000000             -55.62457059
         1        56         1        0.12969300        0.12884048               0.00000000              19.19002403
         1        57         1        0.13579300        0.12779167               0.00000000              19.18771062
         1        58         8       -0.25717800       -0.26792199               0.00000000             -55.62464062
         1        59         1        0.14139400        0.13250974               0.00000000              19.18816406
         1        60         1        0.14061300        0.15227461               0.00000000              19.18921499
         1        61         8       -0.27170100       -0.26728488               0.00000000             -55.62588361
         1        62         1        0.13706400        0.13779847               0.00000000              19.18949244
         1        63         1        0.14929400        0.14632810               0.00000000              19.18924446
         1        64         8       -0.28953100       -0.25999376               0.00000000             -55.62372325
         1        65         1        0.13218700        0.13142116               0.00000000              19.18827004
         1        66         1        0.12190000        0.11320964               0.00000000              19.18681834
         1        67         8       -0.24734000       -0.25780341               0.00000000             -55.62567246
         1        68         1        0.14199900        0.13162788               0.00000000              19.18916514
         1        69         1        0.15860300        0.15447176               0.00000000              19.18857891
         1        70         8       -0.20986400       -0.19458892               0.00000000             -55.62240387
         1        71         1        0.14964000        0.13318336               0.00000000              19.18864139
         1        72         1        0.14733700        0.15082716               0.00000000              19.19002497
         1        73         8       -0.23466700       -0.24158589               0.00000000             -55.62857654
         1        74         1        0.16546400        0.14754375               0.00000000              19.18864759
         1        75         1        0.15778800        0.15397465               0.00000000              19.19042604
         1        76         8       -0.28120100       -0.28683401               0.00000000             -55.62336309
         1        77         1        0.14246900        0.13897501               0.00000000              19.19004205
         1        78         1        0.12179300        0.11591040               0.00000000              19.18451195
         1        79         8       -0.28230500       -0.30337371               0.00000000             -55.62452671
         1        80         1        0.13879300        0.14226232               0.00000000              19.18940875
         1        81         1        0.11988400        0.11560754               0.00000000              19.18697324
         1        82         8       -0.27529800       -0.27025066               0.00000000             -55.62626361
         1        83         1        0.14874900        0.14394898               0.00000000              19.18952567
         1        84         1        0.14651700        0.12998467               0.00000000              19.18909555
         1        85         8       -0.29419500       -0.29530354               0.00000000             -55.62524378
         1        86         1        0.14019200        0.15118296               0.00000000              19.18865522
         1        87         1        0.12787900        0.12039508               0.00000000              19.18744668
         1        88         8       -0.23565100       -0.23406847               0.00000000             -55.62759592
         1        89         1        0.17174100        0.15760757               0.00000000              19.18772596
         1        90         1        0.15360600        0.15325630               0.00000000              19.18971689
         1        91         8       -0.26667800       -0.26310981               0.00000000             -55.62662243
         1        92         1        0.15576400        0.15438666               0.00000000              19.19095755
         1        93         1        0.14291600        0.13920805               0.00000000              19.18851610
         1        94         8       -0.25599700       -0.24316026               0.00000000             -55.62313442
         1        95         1        0.12737400        0.12251306               0.00000000              19.18780409
         1        96         1        0.13289200        0.13841327               0.00000000              19.18771488
         1        97         8       -0.23247000       -0.23084964               0.00000000             -55.62463017
         1        98         1        0.14792000        0.13573120               0.00000000              19.18812210
         1        99         1        0.14771600        0.14932876               0.00000000              19.18899117
         1       100         8       -0.26330200       -0.25631279               0.00000000             -55.62470356
         1       101         1        0.13854700        0.15165378               0.00000000              19.18952055
         1       102         1        0.13386200        0.14529906               0.00000000              19.18778150
         1       103         8       -0.27141800       -0.27959065               0.00000000             -55.62559621
         1       104         1        0.12843300        0.13697717               0.00000000              19.18769919
         1       105         1        0.13259400        0.13734676               0.00000000              19.19131085
         1       106         8       -0.29995900       -0.29752259               0.00000000             -55.62520350
         1       107         1        0.13513600        0.14598724               0.00000000              19.18916019
         1       108         1        0.13506700        0.13583020               0.00000000              19.18789996
         1       109         8       -0.29118900       -0.32184782               0.00000000             -55.62598489
         1       110         1        0.12599700        0.11910119               0.00000000              19.18911233
         1       111         1        0.14683700        0.14746684               0.00000000              19.18845945
         1       112         8       -0.26916100       -0.27138130               0.00000000             -55.62629333
         1       113         1        0.12850500        0.13334372               0.00000000              19.18930201
         1       114         1        0.13684900        0.15086177               0.00000000              19.18882592
         1       115         8       -0.30631800       -0.31790038               0.00000000             -55.62266713
